id,subject,priority,category
1aiu3lrqi,Hey IT! Our network printer keeps disconnecting.,Medium,Network
kz5mjjpox,Access Issue with Shared Network Drive,High,Network
86eza0fwq,Software Conflict Causing App Crashes,High,Software
6bqwkmxi1,Email client sync issue,High,Software
2apbmy56h,Workstation Security Configuration Inconsistent,High,Security
cvf932pt2,Cloud Tool Access Issue API Rate Limiting,High,Software
1sj8czs0k,Persistent Authentication Failures with MFA,High,Security
rq9cpafv3,Troubleshooting Slow Internet on Company Laptop,Medium,Network
0k8ro1kdx,Virtual Backgrounds Not Loading in Video Conferencing,Medium,Software
hmth9114b,Critical Software Update Installation Issue,High,Software
